"Date","Time","Cloud Condition","Rain Condition","Brightness Condition","Cloud Value","Cloud Sensor Temperature","Rain Value","Brightness Value","Ambient Temperature","Rain Heating Percentage","Rain Sensor Temperature","Heating Status","Switch Status","Read Cycle","Timeout Errors","Safe Status","Wind Condition","Wind Value",
"2018-06-19","20:39:42","Clear","Dry","Very Light","-14,9","21,2","2688","1","21,2","13%","25,3","","Opened","3,698","0","Safe","Windy","5,2",
"2018-06-19","20:39:52","Clear","Dry","Very Light","-15,2","21,2","2688","1","21,2","13%","25,2","","Opened","3,697","0","Safe","Windy","5,3",
"2018-06-19","20:40:02","Clear","Dry","Very Light","-15,3","21,2","2688","1","21,2","13%","25,2","","Opened","3,696","0","Safe","Windy","5,2",
"2018-06-19","20:40:12","Clear","Dry","Very Light","-15,2","21,1","2688","1","21,1","13%","25,1","","Opened","3,698","0","Safe","Windy","5,2",
"2018-06-19","20:40:22","Clear","Dry","Very Light","-15,6","21,1","2688","1","21,1","13%","24,9","","Opened","3,698","0","Safe","Windy","6,2",
"2018-06-19","20:40:32","Clear","Dry","Very Light","-15,5","21,0","2688","1","21,0","13%","24,9","","Opened","3,744","0","Safe","Windy","6,8",
"2018-06-19","20:40:42","Clear","Dry","Very Light","-15,2","21,0","2688","1","21,0","13%","24,9","","Opened","3,714","0","Safe","Windy","6,8",
"2018-06-19","20:40:52","Clear","Dry","Very Light","-15,3","21,0","2688","1","21,0","13%","24,9","","Opened","3,729","0","Safe","Windy","6,2",
"2018-06-19","20:41:02","Clear","Dry","Very Light","-15,6","20,9","2688","1","20,9","13%","24,8","","Opened","3,714","0","Safe","Windy","5,8",
"2018-06-19","20:41:12","Clear","Dry","Very Light","-15,6","20,9","2688","1","20,9","13%","24,7","","Opened","3,697","0","Safe","Windy","5,2",
"2018-06-19","20:41:22","Clear","Dry","Very Light","-15,3","20,8","2688","1","20,8","13%","24,7","","Opened","3,697","0","Safe","Calm","3,8",
"2018-06-19","20:41:32","Clear","Dry","Very Light","-16,0","20,8","2688","1","20,8","13%","24,6","","Opened","3,729","0","Safe","Calm","3,7",
"2018-06-19","20:41:42","Clear","Dry","Very Light","-16,2","20,7","2688","1","20,7","13%","24,5","","Opened","3,699","0","Safe","Calm","4,2",
"2018-06-19","20:41:52","Clear","Dry","Very Light","-15,8","20,6","2688","1","20,6","13%","24,5","","Opened","3,697","0","Safe","Calm","4,3",
"2018-06-19","20:42:02","Clear","Dry","Very Light","-16,4","20,5","2688","1","20,5","13%","24,3","","Opened","3,697","0","Safe","Windy","5,2",
"2018-06-19","20:42:12","Clear","Dry","Very Light","-16,2","20,5","2688","1","20,5","13%","24,2","","Opened","3,698","0","Safe","Windy","6,2",
"2018-06-19","20:42:22","Clear","Dry","Very Light","-16,2","20,4","2688","1","20,4","13%","24,1","","Opened","3,696","0","Safe","Windy","7,2",
"2018-06-19","20:42:32","Clear","Dry","Very Light","-16,5","20,3","2688","1","20,3","13%","24,0","","Opened","3,744","0","Safe","Windy","7,7",
"2018-06-19","20:42:42","Clear","Dry","Very Light","-16,0","20,3","2688","1","20,3","13%","23,9","Heating UP","Opened","3,695","0","Safe","Windy","7,5",
"2018-06-19","20:42:52","Clear","Dry","Very Light","-15,8","20,2","2688","1","20,2","14%","23,9","","Opened","3,697","0","Safe","Windy","7,2",
"2018-06-19","20:43:02","Clear","Dry","Very Light","-16,2","20,2","2688","1","20,2","14%","23,9","","Opened","3,696","0","Safe","Windy","6,7",
"2018-06-19","20:43:12","Clear","Dry","Very Light","-16,0","20,1","2688","1","20,1","14%","23,8","","Opened","3,697","0","Safe","Windy","6,5",
"2018-06-19","20:43:22","Clear","Dry","Very Light","-15,6","20,1","2688","1","20,1","14%","23,8","","Opened","3,704","0","Safe","Windy","5,8",
"2018-06-19","20:43:32","Clear","Dry","Very Light","-16,3","20,1","2688","1","20,1","14%","23,8","","Opened","3,744","0","Safe","Windy","5,3",
"2018-06-19","20:43:42","Clear","Dry","Very Light","-16,0","20,0","2688","1","20,0","14%","23,7","","Opened","3,701","0","Safe","Windy","5,2",
"2018-06-19","20:43:52","Clear","Dry","Very Light","-16,2","19,9","2688","1","19,9","14%","23,7","","Opened","3,701","0","Safe","Windy","5,7",
"2018-06-19","20:44:02","Clear","Dry","Very Light","-16,0","19,9","2688","1","19,9","14%","23,6","","Opened","3,701","0","Safe","Windy","5,5",
"2018-06-19","20:44:12","Clear","Dry","Very Light","-15,8","19,9","2688","1","19,9","14%","23,6","","Opened","3,700","0","Safe","Calm","4,8",
"2018-06-19","20:44:22","Clear","Dry","Very Light","-16,0","19,8","2688","1","19,8","14%","23,6","","Opened","3,712","0","Safe","Calm","4,8",
"2018-06-19","20:44:32","Clear","Dry","Very Light","-16,2","19,8","2688","1","19,8","14%","23,5","","Opened","3,741","0","Safe","Windy","5,7",
"2018-06-19","20:44:42","Clear","Dry","Very Light","-16,2","19,7","2688","1","19,7","14%","23,4","","Opened","3,696","0","Safe","Windy","6,2",
"2018-06-19","20:44:52","Clear","Dry","Very Light","-16,2","19,6","2688","1","19,6","14%","23,4","","Opened","3,791","0","Safe","Windy","6,7",
"2018-06-19","20:45:02","Clear","Dry","Very Light","-15,9","19,6","2688","1","19,6","14%","23,3","","Opened","3,712","0","Safe","Windy","6,7",
"2018-06-19","20:45:12","Clear","Dry","Very Light","-16,1","19,6","2688","1","19,6","14%","23,3","","Opened","3,697","0","Safe","Windy","8,0",
"2018-06-19","20:45:22","Clear","Dry","Very Light","-16,1","19,5","2688","1","19,5","14%","23,2","Heating UP","Opened","3,697","0","Safe","Windy","9,3",
"2018-06-19","20:45:32","Clear","Dry","Very Light","-15,8","19,5","2688","1","19,5","15%","23,2","","Opened","3,729","0","Safe","Windy","8,3",
"2018-06-19","20:45:42","Clear","Dry","Very Light","-16,0","19,5","2688","1","19,5","15%","23,2","","Opened","3,699","0","Safe","Windy","7,7",
"2018-06-19","20:45:52","Clear","Dry","Very Light","-16,0","19,4","2688","1","19,4","15%","23,3","","Opened","3,711","0","Safe","Windy","7,0",
"2018-06-19","20:46:02","Clear","Dry","Very Light","-15,8","19,4","2688","1","19,4","15%","23,2","","Opened","3,697","0","Safe","Windy","6,7",
